product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Winnall,DUNLOP,505683,2255016ZDUSP2000,225/50ZR16 DLOP SP2000E* 92W,225,50,16,W,92,SP2000,2,100,SP2000,CAR TYRES  16 Inch Rim,N,N,C1,E,0,C,69,2
tyres,Micheldever - Winnall,MICHELIN,334979,17516R6MIXC4S,175R16 MICH XC4S TAXI 98N/98Q,175,80,16,N,98,MIXC,15,100,XC4S,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,E,0,B,71,2
tyres,Micheldever - Winnall,PIRELLI,1112400,2454018ZPIPZEROA,245/40R18 PIR PZ ASIM REIN 97Y,245,40,18,Y,97,PZASIM,10,100,PZASIM,CAR TYRES  18 Inch Rim,N,N,C1,F,0,B,73,3
tyres,Micheldever - Winnall,PIRELLI,890200,2554517ZPIPZEROA,255/45R17 PIR PZ ASIM 98Y,255,45,17,Y,98,PZASIM,1,100,PZASIM,CAR TYRES  17 INCH RIM,N,N,C1,F,0,B,73,3
tyres,Micheldever - Winnall,PIRELLI,890400,2554518ZPIPZEROA,255/45R18 PIR PZ ASIM 99Y,255,45,18,Y,99,PZASIM,2,100,PZASIM,CAR TYRES  18 Inch Rim,N,N,C1,F,0,B,73,3
tyres,Micheldever - Winnall,YOKOHAMA,K4831,1657010HYOA008,165/70R10 YOKO A008 72H,165,70,10,H,72,A008,4,100,A008,CAR TYRES  10 Inch Rim,N,N,NA,,0,,0,0
tyres,Micheldever - Winnall,BRIDGESTONE,77879,2854017ZBRSO1,285/40ZR17 BST SO1 F456 100Y,285,40,17,Z,100,S01,2,100,S01,CAR TYRES  17 INCH RIM,N,N,C1,F,0,B,73,2
tyres,Micheldever - Winnall,PIRELLI,272300,1655513HPIP700Z,165/55R13 PIR P700Z 70H,165,55,13,H,70,P700Z,2,100,P700,CAR TYRES  13 INCH RIM,N,N,C1,G,0,E,71,1
tyres,Micheldever - Winnall,GOODYEAR,500732,1556513TGOGT2,155/65R13 GDYR GT-2 73T,155,65,13,T,73,GOGT2,1,100,GT2,CAR TYRES  13 INCH RIM,N,N,C1,F,0,E,70,2
tyres,Micheldever - Winnall,PIRELLI,747400,2156516ZPIP6000,215/65R16 PIR P6000 98W,215,65,16,W,98,P6000,1,100,P6000,CAR TYRES  16 Inch Rim,N,N,NA,,0,,0,0
