product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Winnall,AVON,2848913,1509015VAVVENOMB,150/90B15 AV AM42 VENOM 74V (R,150,90,15,V,74,AM42,1,100,AM42,MOTORCYCLE TYRES  15 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,AVON,2805019,MT9016HAVVENWWWF,MT90-16 AVN VENOM 74H F WWW TL,90,80,16,H,74,VENOM,1,100,VENWWW,MOTORCYCLE TYRES  16 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,AVON,284509,MT9016HAVVENWWWR,MT90-16 AVN VENOM WWW 74H(R)TL,90,80,16,H,74,VENOM,1,100,VENWWW,MOTORCYCLE TYRES  16 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,AVON,2805019,MT9016HAVVENNWWR,MT90-16 AVN VENOM NWW 74H(R)TL,90,80,16,H,74,VENOM,1,100,VENNWW,MOTORCYCLE TYRES  16 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,AVON,2808112,909021HAVVENOM,90/90-21 AV AM41 VENOM 54H(F),90,90,21,H,54,AM41,3,100,AM41,MOTORCYCLE TYRES  21 INCH RIM & ABOVE,N,N,,,0,,0,0
tyres,Micheldever - Winnall,YOKOHAMA,K5622,1855014VYOA539,185/50R14 YOKO A539 77V,185,50,14,V,77,A539,2,100,A539,CAR TYRES  14 Inch Rim,N,N,C1,F,0,C,71,3
tyres,Micheldever - Winnall,PIRELLI,1637700,2354018ZPIPZEROR,235/40R18 PIR PZ ROSSO 91Y GER,235,40,18,Y,91,PZROSSA,5,100,PZROSSO,CAR TYRES  18 Inch Rim,N,N,C1,E,0,B,71,2
tyres,Micheldever - Winnall,BRIDGESTONE,79427,20516XBRD689S,205R16 BST D689 EZ [2] 104S,205,80,16,S,104,D689,6,100,D689,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,E,0,E,73,3
tyres,Micheldever - Winnall,BRIDGESTONE,77860,2057015XBRD684KZ,205/70R15 BST D684 KZ [2] 96T,205,70,15,T,95,D684,50,100,D684,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,E,0,F,73,3
tyres,Micheldever - Winnall,B.F. GOODRICH,625492,2358516XBFAT,235/85R16 BFG ATKO [6] 120S,235,85,16,S,120,ATKO,50,100,ATKO,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C2,F,0,C,77,3
tyres,Micheldever - Winnall,MICHELIN,104552,1308017SMIT63,130/80-17 MICH T63 65S R,130,80,17,S,65,T63,1,100,T63,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,B.F. GOODRICH,662156,2657516XBFATKO,265/75R16 BFG ATKO [6] 123S WL,265,75,16,S,123,ATKO,29,100,ATKO,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C3,F,0,A,75,3
tyres,Micheldever - Winnall,BRIDGESTONE,75270,2657016XBRD689H,265/70R16 BST D689 [2] 112H,265,70,16,H,112,D689,5,100,D689,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,G,0,E,74,3
tyres,Micheldever - Winnall,YOKOHAMA,K5631,1656012HYOA539,165/60R12 YOKO A539 71H,165,60,12,H,71,A539,7,100,A539,CAR TYRES  12 INCH RIM,N,N,C1,F,0,C,72,3
tyres,Micheldever - Winnall,CONTINENTAL,2480190000,1309016HCOMSTNE,130/90-16 CON CM1 67H BW TL F,130,90,16,H,67,,1,100,MST CM1,MOTORCYCLE TYRES  16 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,PIRELLI,802700,1606017VPIMT60RS,160/60R17 PIR MT60RS 69V TL (R,160,60,17,V,69,MT60R,3,100,MT60R,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,PIRELLI,2149500,1207011LPISL36,120/70-11 PIR SL36 50L TL U,120,70,11,L,50,SL36,3,100,SL36,MOTORCYCLE TYRES  11 Inch Rim,N,N,,,0,,0,0
tyres,Micheldever - Winnall,GOODYEAR,507600,2055515VGONCT5,205/55R15 GDYR NCT5 88V,205,55,15,V,88,NCT5,6,100,NCT5,CAR TYRES  15 INCH RIM,N,N,C1,F,0,E,69,2
tyres,Micheldever - Winnall,KUMHO,2101973,1657014R6BUKU857,165/70R14 KUMHO 857 89R,165,70,14,R,89,857,16,100,857,LIGHT TRUCK TYRES  14 INCH RIM,N,N,C2,F,0,C,74,3
tyres,Micheldever - Winnall,KUMHO,2101713,2056515R6BUKU857,205/65R15 KUMHO 857 102R,205,65,15,R,102,857,33,100,857,LIGHT TRUCK TYRES  15 INCH RIM,N,N,C2,C,0,C,74,3
tyres,Micheldever - Winnall,KUMHO,2146043,2157516R8BUKU857,215/75R16 KUMHO 857 113R 8PLY,215,75,16,R,113,857,14,100,857,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,E,0,C,74,3
tyres,Micheldever - Winnall,AVON,2079012,1009019HAVAM43,100/90-19 AV DISTZ AM43 57H (F,100,90,19,H,57,AM43,1,100,AM43,MOTORCYCLE TYRES  19 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,AVON,4079212,1408017HAVAM44,140/80R17 AV AM44 DISTAN 69H R,140,80,17,H,69,AM44,4,100,AM44,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,GOODYEAR,507726,1756015VGONCT5,175/60R15 GDYR NCT5 81V,175,60,15,V,81,NCT5,2,100,NCT5,CAR TYRES  15 INCH RIM,N,N,C1,F,0,E,68,2
tyres,Micheldever - Winnall,AVON,2809612,1109019HAVVENOM,110/90-19 AVON VENOM AM41 62HF,110,90,19,H,62,AM41,1,100,AM41,MOTORCYCLE TYRES  19 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,DUNLOP,656265,MT9016HDUD402WWF,MT90B16 DLOP D402F SW 72H TL F,90,80,16,H,72,D402,2,100,D402,MOTORCYCLE TYRES  16 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,BRIDGESTONE,71465,2254517ZBRS02N3,225/45ZR17 BST SO2 KZ N3,225,45,17,Z,,S02,2,100,S02,CAR TYRES  17 INCH RIM,N,N,C1,G,0,C,72,3
tyres,Micheldever - Winnall,YOKOHAMA,K8469,2657016XYOGO39,265/70R16 YOKO GO39 [2] 112S,265,70,16,S,112,G039,4,100,G039,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,C,0,C,72,2
tyres,Micheldever - Winnall,YOKOHAMA,K5621,1755013VYOA539,175/50R13 YOKO A539 72V,175,50,13,V,78,A539,4,100,A539,CAR TYRES  13 INCH RIM,N,N,C1,F,0,C,71,3
tyres,Micheldever - Winnall,MICHELIN,387291,2854519XMIDIAMAR,285/45R19 MICH LAT DIAM 107V*,285,45,19,V,107,LATDIAM,12,100,LATDIAM,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,E,0,B,76,3
tyres,Micheldever - Winnall,MICHELIN,104637,1209018RMIENDCP3,120/90-18 MI EN-COMP3 65R(R)TT,120,90,18,R,65,,1,100,ENDCP3,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,AVON,2968114,909021TAVAM43,90/90-21 AVON DIST AM43 54T(F),90,90,21,T,54,AM43,2,100,AM43,MOTORCYCLE TYRES  21 INCH RIM & ABOVE,N,N,,,0,,0,0
tyres,Micheldever - Winnall,AVON,2979411,1108018SAVAM44,110/80-18 AV DISTZ AM44 58S (R,110,80,18,S,58,AM44,2,100,AM44,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,AVON,2975914,1308017TAVAM44,130/80-17 AVON DIST AM44 65T(R,130,80,17,T,65,AM44,1,100,AM44,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,AVON,2847492,1508016HAVAM42,150/80B16 AV AM42 VENOM 77H(R),150,80,16,H,77,AM42,3,100,AM42,MOTORCYCLE TYRES  16 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,METZELER,966800,1607017VMEME880,160/70B17 METZ ME880 RF 79V TL,160,70,17,V,79,ME880,2,100,ME880,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,BRIDGESTONE,76579,1456515TBRB340,145/65R15 BST B340 72T,145,65,15,T,72,B340,4,100,B340,CAR TYRES  15 INCH RIM,N,N,C1,C,0,F,68,2
tyres,Micheldever - Winnall,DUNLOP,505716,1756015VDUSP200,175/60R15 DLOP SP200E 81V,175,60,15,V,81,SP2000,9,100,SP2000,CAR TYRES  15 INCH RIM,N,N,C1,E,0,E,67,1
tyres,Micheldever - Winnall,B.F. GOODRICH,150695,2357515XBFATKO,235/75R15 BFG ATKO [6] 104S WL,235,75,15,Q,104,ATKO,40,100,ATKO,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C2,G,0,C,77,3
tyres,Micheldever - Winnall,MICHELIN,853148,2156515R6MIAGIL,215/65R15 MICH AGILIS 51 104T,215,65,15,T,104,AGILIS4151,5,100,AGILIS 51,LIGHT TRUCK TYRES  15 INCH RIM,N,N,C2,C,0,A,72,2
tyres,Micheldever - Winnall,BRIDGESTONE,76297,1507017VBRBT45,150/70-17 BST BT45 69V (R) TL,150,70,17,V,69,BT45,1,100,BT45,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,GOODYEAR,556144,1857516R8GOG26,185/75R16 GDYR G26 102/104R,185,75,16,Q,104/102,CARGO26,5,100,G26,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,E,0,C,72,2
tyres,Micheldever - Winnall,PIRELLI,1791900,1856515HPIP6,185/65R15 PIR P6 CINT 88H,185,65,15,H,88,P6CINT,2,100,P6CINT,CAR TYRES  15 INCH RIM,N,N,C1,F,0,E,71,3
tyres,Micheldever - Winnall,PIRELLI,1975700,2055516VPIP7,205/55R16 PIR P7 91V,205,55,16,V,91,P7,5,100,P7,CAR TYRES  16 Inch Rim,N,N,C1,E,0,B,72,3
tyres,Micheldever - Winnall,FIRESTONE,75798,15513TFIF590,155R13 FSTONE F590FS 79T,155,80,13,T,79,F590,26,100,F590,CAR TYRES  13 INCH RIM,N,N,C1,F,0,E,70,2
tyres,Micheldever - Winnall,UNIROYAL,3626240000,1955015VUNRAINSP,195/50R15 UNI RAINSPORT 2 82V,195,50,15,V,82,,3,100,RAINSPT2,CAR TYRES  15 INCH RIM,N,N,C1,F,0,B,71,2
tyres,Micheldever - Winnall,B.F. GOODRICH,170731,3095015XBFATKO,30X950R15 BFG ATKO [6] 104S WL,30,950,15,S,104,ATKO,12,100,ATKO,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C2,F,0,C,77,3
tyres,Micheldever - Winnall,METZELER,1306900,1207017ZMEMEZREN,120/70R17 METZ RENSPT 58W TL(F,120,70,17,W,58,RENSPTF,1,100,RENNSPORT,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,GOODYEAR,518406,2156516HGONCT5,215/65R16 GDYR NCT5 98H,215,65,16,H,98,NCT5,33,100,NCT5,CAR TYRES  16 Inch Rim,N,N,C1,E,0,C,69,2
tyres,Micheldever - Winnall,KUMHO,2102013,20514R8BUKU857,205R14 KUMHO 857 109Q,205,80,14,Q,109,857,22,100,857,LIGHT TRUCK TYRES  14 INCH RIM,N,N,C2,E,0,C,74,3
tyres,Micheldever - Winnall,KUMHO,2101063,17514R8BUKU857,175R14 KUMHO 857 99Q,175,80,14,Q,99,857,3,100,857,LIGHT TRUCK TYRES  14 INCH RIM,N,N,C2,F,0,C,74,3
tyres,Micheldever - Winnall,KUMHO,2102053,21514R8BUKU857,215R14 KUMHO 857 112Q,215,80,14,Q,112,857,24,100,857,LIGHT TRUCK TYRES  14 INCH RIM,N,N,C2,E,0,C,74,3
tyres,Micheldever - Winnall,TRAX,TRW600Z,QBWAD0660X,STICK-ON WGHT STEEL 60GM - 100,,,,,,,50,100,,NEW REPAIR MATERIALS  Stick On Weight,N,N,,,0,,0,0
tyres,Micheldever - Winnall,METZELER,1307100,1805517ZMERENNSP,180/55R17 METZ RENSPT 73W TL(R,180,55,17,W,73,RENSPTF,3,100,RENNSPORT,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Winnall,BRIDGESTONE,76966,1956016HBRER30,195/60R16 BST ER30C 99/97H,195,60,16,H,99,ER30,1,100,ER30,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,E,0,C,74,3
tyres,Micheldever - Winnall,B.F. GOODRICH,97055,2657017XBFATKO,265/70R17 BFG ATKO [6] 112R,265,70,17,R,112,ATKO,50,100,ATKO,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C2,F,0,C,77,3
tyres,Micheldever - Winnall,PIRELLI,1445300,2554019ZPIPZEROR,255/40R19 PIR PZ ROSSO XL 100Y,255,40,19,Y,100,PZROSSO,22,100,PZROSSO,CAR TYRES  19 INCH RIM,Y,N,C1,E,0,B,73,2
tyres,Micheldever - Winnall,PIRELLI,1336300,2553519ZPIPZEROA,255/35R19 PIR PZ ASIM 96Y XL,255,35,19,Y,96,PZASIM,1,100,PZASIM,CAR TYRES  19 INCH RIM,Y,N,C1,F,0,B,73,2
tyres,Micheldever - Winnall,PIRELLI,985500,2254018ZPIPZERN4,225/40ZR18 PIR PZ ROSSO N4(88),225,40,18,Z,88,PZROSSA,4,100,PZROSSO,CAR TYRES  18 Inch Rim,N,N,C1,E,0,A,71,2
