product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,GT RADIAL,B025,2254019ZBUGTHPY,225/40R19 GT CHAMPIRO HPY 93Y XL,225,40,19,Y,93,HPY,7,78.82,HPY,CAR TYRES  19 INCH RIM,Y,N,C1,E,0,C,71,3
tyres,Micheldever - Halifax,GT RADIAL,B057,2254517ZBUGTHPY,225/45R17 GT CHAMPIRO HPY 94Y XL,225,45,17,Y,94,HPY,50,46.2,HPY,CAR TYRES  17 INCH RIM,Y,N,C1,E,0,C,71,3
tyres,Micheldever - Halifax,GT RADIAL,B027,2255017ZBUGTHPY,225/50R17 GT CHAMPIRO HPY 98Y XL,225,50,17,Y,98,HPY,50,52.3,HPY,CAR TYRES  17 INCH RIM,Y,N,C1,E,0,C,71,3
tyres,Micheldever - Halifax,GT RADIAL,B346,2355518XBUGTHPY,235/55R18 GT CHAMPIRO HPY 104W XL,235,55,18,W,104,HPY,26,72.85,HPY,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,C,0,B,70,2
tyres,Micheldever - Halifax,GT RADIAL,B345,2356018XBUGTHPY,235/60R18 GT CHAMPIRO HPY 107V XL,235,60,18,V,107,HPY,14,67.55,HPY,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,C,0,B,70,2
tyres,Micheldever - Halifax,AVON,4700019,2404018VAVAV72A,240/40R18 AV AV72 COBRA 79V R,240,40,18,V,79,COBRA,1,135,COBRA,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,GT RADIAL,B024,2454018ZBUGTHPY,245/40R18 GT CHAMPIRO HPY 97Y XL,245,40,18,Y,97,HPY,31,68.05,HPY,CAR TYRES  18 Inch Rim,Y,N,C1,C,0,B,70,2
tyres,Micheldever - Halifax,GT RADIAL,B045,2454517ZBUGTHPY,245/45R17 GT CHAMP HPY 99Y XL,245,45,17,Y,99,HPY,50,56.65,HPY,CAR TYRES  17 INCH RIM,Y,N,C1,C,0,C,71,3
tyres,Micheldever - Halifax,GT RADIAL,B026,2554017ZBUGTHPY,255/40R17 GT CHAMPIRO HPY 98Y XL,255,40,17,Y,98,HPY,43,58.95,HPY,CAR TYRES  17 INCH RIM,Y,N,C1,C,0,C,71,3
tyres,Micheldever - Halifax,GT RADIAL,B055,2554518ZBUGTHPY,255/45R18 GT CHAMPIRO HPY 103Y XL,255,45,18,Y,103,HPY,3,82.7,HPY,CAR TYRES  18 Inch Rim,Y,N,C1,E,0,C,71,3
tyres,Micheldever - Halifax,GT RADIAL,B343,2555019XBUGTHPY,255/50R19 GT CHAMPIRO HPY 107Y XL,255,50,19,Y,107,HPY,16,77.05,HPY,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,C,0,C,71,3
tyres,Micheldever - Halifax,GT RADIAL,B342,2555518XBUGTHPY,255/55R18 GT CHAMPIRO HPY 109Y XL,255,55,18,Y,109,HPY,50,73.8,HPY,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,C,0,B,70,1
tyres,Micheldever - Halifax,AVON,2276813,40018VAVRDRIDER,4.00-18 AV R/RID AM26 64V(R)TL,4,80,18,V,64,AM26,0,60,AM26,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,METZELER,1614300,909021QMEKAROO2,90/90-21 METZ KAROO 2 T 54Q F,90,90,21,Q,54,KAROO2,0,40.04,KAROO2,MOTORCYCLE TYRES  MOTORCYCLE OFF ROAD,N,N,,,0,,0,0
tyres,Micheldever - Halifax,MICHELIN,104550,909021SMIT63,90/90-21 MICH T63 54S TT (F),90,90,21,S,54,T63,1,51.55,T63,MOTORCYCLE TYRES  21 INCH RIM & ABOVE,N,N,,,0,,0,0
tyres,Micheldever - Halifax,AUTOGRIP,AG102P1305,1657013TBUAG102,165/70R13 AUTOGRIP R102 79T,165,70,13,T,79,R102,0,17.7,R102,CAR TYRES  13 INCH RIM,N,N,C1,E,0,E,74,3
tyres,Micheldever - Halifax,AUTOGRIP,AG102P1406,1757014TBUAG102,175/70R14 AUTOGRIP R102 84T,175,70,14,T,84,R102,0,28.37,102,CAR TYRES  14 Inch Rim,N,N,C1,E,0,E,74,3
tyres,Micheldever - Halifax,BRIDGESTONE,78630,2454518ZBRRE50R,245/45R18 BST RE050 EZ 96Y RFT,245,45,18,Y,96,RE050,1,136.5,RE050,CAR TYRES  18 Inch Rim,N,Y,C1,F,0,C,71,2
tyres,Micheldever - Halifax,GOODYEAR,565792,2355519XGOEXCFAO,235/55R19 GDYR EXCEL 101W FPAO,235,55,19,W,101,EXCEL,6,119.95,EXCELLENCE,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,C,0,C,69,2
tyres,Micheldever - Halifax,MICHELIN,754182,1857516R8MIAGIAL,185/75R16 MICH AGIL ALP 104R,185,75,16,R,104,ALPIN,0,85.41,ALPIN,LIGHT TRUCK TYRES  WINTER VAN,N,N,C2,E,0,B,70,1
tyres,Micheldever - Halifax,MAXXIS,,2880012MAXC9272,28/8000-12 MAXXIS C9272 40N,,,,,,,0,0,,AGRICULTURAL TYRES  TURF TYRES,N,N,,,0,,0,0
