sku,parent_sku,stock,regular_price,meta:attribute_pa_service,meta:attribute_default_pa_service
2255016ZDUSP2000,2255016ZDUSP2000,10,81.11,Micheldever - Halifax,Micheldever - Halifax
17516R6MIXC4S,17516R6MIXC4S,4,69.94,Micheldever - Halifax,Micheldever - Halifax
3353517ZPIPZEROA,3353517ZPIPZEROA,0,304.45,Micheldever - Halifax,Micheldever - Halifax
2254018ZPIPZEROD,2254018ZPIPZEROD,0,118.36,Micheldever - Halifax,Micheldever - Halifax
2454018ZPIPZEROA,2454018ZPIPZEROA,13,104.49,Micheldever - Halifax,Micheldever - Halifax
2654018ZPIPZEROA,2654018ZPIPZEROA,0,183.84,Micheldever - Halifax,Micheldever - Halifax
2254517ZPIPZEROA,2254517ZPIPZEROA,50,67.02,Micheldever - Halifax,Micheldever - Halifax
2554517ZPIPZEROA,2554517ZPIPZEROA,2,229.68,Micheldever - Halifax,Micheldever - Halifax
2554518ZPIPZEROA,2554518ZPIPZEROA,3,157.01,Micheldever - Halifax,Micheldever - Halifax
2155017ZPIPZEROA,2155017ZPIPZEROA,0,131.72,Micheldever - Halifax,Micheldever - Halifax
2255516ZPIP6000J,2255516ZPIP6000J,0,80.82,Micheldever - Halifax,Micheldever - Halifax
1657010HYOA008,1657010HYOA008,2,43.95,Micheldever - Halifax,Micheldever - Halifax
2854017ZBRSO1,2854017ZBRSO1,2,203.11,Micheldever - Halifax,Micheldever - Halifax
1655513HPIP700Z,1655513HPIP700Z,3,50.71,Micheldever - Halifax,Micheldever - Halifax
2154016ZGOEAGF1,2154016ZGOEAGF1,0,61.88,Micheldever - Halifax,Micheldever - Halifax
1856515HCOEC3,1856515HCOEC3,3,47.3,Micheldever - Halifax,Micheldever - Halifax
2257516R10BRR294,2257516R10BRR294,3,106.97,Micheldever - Halifax,Micheldever - Halifax
2554018ZPIPZEROA,2554018ZPIPZEROA,3,164.05,Micheldever - Halifax,Micheldever - Halifax
2654018ZBRS01LH,2654018ZBRS01LH,6,131.27,Micheldever - Halifax,Micheldever - Halifax
2654018ZBRS01RH,2654018ZBRS01RH,0,129.4,Micheldever - Halifax,Micheldever - Halifax
2055017ZBRS02N3,2055017ZBRS02N3,0,77.95,Micheldever - Halifax,Micheldever - Halifax
2255016ZBRS02N3,2255016ZBRS02N3,1,70.24,Micheldever - Halifax,Micheldever - Halifax
2055516ZBRSO2N3,2055516ZBRSO2N3,1,43.35,Micheldever - Halifax,Micheldever - Halifax
2653518ZBRS02N1,2653518ZBRS02N1,2,117.9,Micheldever - Halifax,Micheldever - Halifax
2455017ZPIPZEROA,2455017ZPIPZEROA,2,153.91,Micheldever - Halifax,Micheldever - Halifax
32518SDUK82,32518SDUK82,5,45.95,Micheldever - Halifax,Micheldever - Halifax
1209016HMEME77,1209016HMEME77,2,43.38,Micheldever - Halifax,Micheldever - Halifax
1209017RPIMT21,1209017RPIMT21,0,62.13,Micheldever - Halifax,Micheldever - Halifax
251210C4TRACT,251210C4TRACT,0,34.53,Micheldever - Halifax,Micheldever - Halifax
27518PMEME22,27518PMEME22,5,20.15,Micheldever - Halifax,Micheldever - Halifax
30018SDUK82,30018SDUK82,1,41.95,Micheldever - Halifax,Micheldever - Halifax
32519PDUK70,32519PDUK70,1,49.95,Micheldever - Halifax,Micheldever - Halifax
35018SDUK82,35018SDUK82,4,48.95,Micheldever - Halifax,Micheldever - Halifax
40018HMEME77,40018HMEME77,0,61.15,Micheldever - Halifax,Micheldever - Halifax
40018MITRIALX11,40018MITRIALX11,36,64.91,Micheldever - Halifax,Micheldever - Halifax
909016SPIMT75,909016SPIMT75,0,39.57,Micheldever - Halifax,Micheldever - Halifax
909018HPIMT75,909018HPIMT75,0,66.34,Micheldever - Halifax,Micheldever - Halifax
1208016TPIMT75,1208016TPIMT75,0,67.25,Micheldever - Halifax,Micheldever - Halifax
1307017HPIMT75,1307017HPIMT75,2,75.86,Micheldever - Halifax,Micheldever - Halifax
2554017ZBRS02N3,2554017ZBRS02N3,11,93.95,Micheldever - Halifax,Micheldever - Halifax
2454518ZPIPZEROD,2454518ZPIPZEROD,3,126.6,Micheldever - Halifax,Micheldever - Halifax
17514HFIF580,17514HFIF580,34,34.85,Micheldever - Halifax,Micheldever - Halifax
18515R8BUKUMHO,18515R8BUKUMHO,1,42.25,Micheldever - Halifax,Micheldever - Halifax
1009019HDUD401,1009019HDUD401,3,75.95,Micheldever - Halifax,Micheldever - Halifax
